label,X,Y,Z
1,600362.035,6616094.758,95.16609
2,600357.2330947368,6616095.90211579,95.03228
3,600352.4311894737,6616097.046231579,95.162094
4,600347.6292842105,6616098.190347369,95.00059
5,600342.8273789474,6616099.334463159,94.90562
6,600338.0254736842,6616100.4785789475,94.90779
7,600333.2235684211,6616101.622694737,94.93684
8,600328.4216631579,6616102.766810527,94.94275
9,600323.6197578948,6616103.910926316,95.00838
10,600318.8178526316,6616105.055042106,94.60254
11,600314.0159473685,6616106.1991578955,94.44006
12,600309.2140421052,6616107.343273684,94.38311
13,600304.4121368421,6616108.487389474,94.178734
14,600299.6102315789,6616109.631505263,94.01279
15,600294.8083263158,6616110.775621053,94.42086
16,600290.0064210526,6616111.919736843,96.39336
17,600285.2045157895,6616113.0638526315,96.99742
18,600280.4026105263,6616114.207968421,96.89914
19,600275.6007052632,6616115.352084211,96.9917
20,600270.7988,6616116.4962,97.05531
21,600265.9968947369,6616117.64031579,97.31415
22,600261.1949894737,6616118.7844315795,99.278885
23,600256.3930842106,6616119.928547368,101.30093
24,600251.5911789474,6616121.072663158,103.76662
25,600246.7892736843,6616122.216778948,106.56132
26,600241.987368421,6616123.360894737,108.1444
27,600237.185463158,6616124.505010527,107.85761
28,600232.3835578947,6616125.649126316,107.23568
29,600227.5816526316,6616126.793242105,106.519295
30,600222.7797473684,6616127.937357895,105.75795
31,600217.9778421053,6616129.081473685,104.95051
32,600213.1759368421,6616130.225589474,103.885956
33,600208.374031579,6616131.3697052635,102.59509
34,600203.5721263158,6616132.513821053,101.9414
35,600198.7702210527,6616133.657936842,101.38099
36,600193.9683157895,6616134.802052632,100.77173
37,600189.1664105264,6616135.946168421,100.43723
38,600184.3645052632,6616137.090284211,99.9073
39,600179.5626000001,6616138.2344,99.464325
40,600174.7606947368,6616139.378515789,98.94574
41,600169.9587894737,6616140.522631579,98.38122
42,600165.1568842105,6616141.666747369,97.81834
43,600160.3549789474,6616142.810863158,97.20256
44,600155.5530736842,6616143.9549789475,96.7603
45,600150.7511684211,6616145.099094737,96.24761
46,600145.9492631579,6616146.243210526,95.86463
47,600141.1473578948,6616147.387326316,95.45325
48,600136.3454526316,6616148.531442106,94.94099
49,600131.5435473685,6616149.675557895,94.60191
50,600126.7416421053,6616150.819673684,94.34017
51,600121.9397368422,6616151.963789474,94.14497
52,600117.137831579,6616153.107905263,94.09897
53,600112.3359263159,6616154.252021053,93.94279
54,600107.5340210526,6616155.396136843,93.874596
55,600102.7321157895,6616156.5402526315,93.66656
56,600097.9302105263,6616157.684368421,93.50517
57,600093.1283052632,6616158.828484211,93.34906
58,600088.3264,6616159.9726,93.3399
59,600083.5244947369,6616161.11671579,93.32423
60,600078.7225894737,6616162.26083158,93.223465
61,600073.9206842106,6616163.404947368,93.145035
62,600069.1187789474,6616164.549063158,93.070724
63,600064.3168736843,6616165.693178947,93.13105
64,600059.5149684211,6616166.837294737,93.08163
65,600054.713063158,6616167.981410527,92.95506
66,600049.9111578948,6616169.1255263155,92.871506
67,600045.1092526317,6616170.269642105,92.83323
68,600040.3073473684,6616171.413757895,92.89004
69,600035.5054421054,6616172.557873684,93.01465
70,600030.7035368421,6616173.701989474,93.11306
71,600025.901631579,6616174.846105264,93.25233
72,600021.0997263158,6616175.990221052,93.38968
73,600016.2978210527,6616177.134336842,93.53028
74,600011.4959157895,6616178.278452632,93.516945
75,600006.6940105264,6616179.422568421,93.44364
76,600001.8921052632,6616180.566684211,93.43689
77,599997.0902000001,6616181.7108000005,93.44578
78,599992.2882947369,6616182.854915789,93.43424
79,599987.4863894738,6616183.999031579,93.39461
80,599982.6844842106,6616185.143147369,93.48645
81,599977.8825789475,6616186.287263158,93.4984
82,599973.0806736842,6616187.431378948,93.55345
83,599968.2787684212,6616188.575494737,93.65353
84,599963.4768631579,6616189.719610526,93.70318
85,599958.6749578948,6616190.863726316,93.80128
86,599953.8730526316,6616192.007842105,93.95318
87,599949.0711473685,6616193.151957895,94.0506
88,599944.2692421053,6616194.2960736845,94.07367
89,599939.4673368422,6616195.440189473,94.1125
90,599934.665431579,6616196.584305263,94.04397
91,599929.8635263159,6616197.728421053,94.02678
92,599925.0616210527,6616198.872536842,93.96017
93,599920.2597157896,6616200.016652632,93.91746
94,599915.4578105264,6616201.160768421,93.90518
95,599910.6559052633,6616202.30488421,94.025116
96,599905.854,6616203.449,94.12181
