label,X,Y,Z
1,600958.892,6615780.482,94.046715
2,600958.6485,6615784.28075,94.037994
3,600958.405,6615788.0795,94.07401
4,600958.1614999999,6615791.87825,94.06547
5,600957.918,6615795.677,94.26953
6,600958.3724,6615800.8296,94.08281
7,600958.8267999999,6615805.9822,94.17939
8,600959.2812,6615811.1348,94.10291
9,600959.7355999999,6615816.287400001,94.1244
10,600960.19,6615821.44,94.12163
11,600960.8898333333,6615826.180333334,94.12787
12,600961.5896666666,6615830.920666667,94.212715
13,600962.2895,6615835.661,94.19409
14,600962.9893333333,6615840.401333334,94.194664
15,600963.6891666666,6615845.141666667,94.151924
16,600964.389,6615849.882,94.15002
17,600966.609,6615855.883,94.06289
18,600969.444,6615859.535,94.126724
19,600972.279,6615863.187,94.30233
20,600975.114,6615866.839,94.06253
21,600977.1275,6615871.893999999,94.21064
22,600979.141,6615876.949,94.195496
23,600980.2712,6615884.5086,94.22686
24,600981.4014,6615892.0682,94.328545
25,600982.5316,6615899.6278,94.23094
26,600983.6618,6615907.1874,94.31565
27,600984.7919999999,6615914.7469999995,94.34918
28,600985.9221999999,6615922.3066,94.31693
29,600987.0523999999,6615929.8662,94.342186
30,600988.1826,6615937.4258,94.33172
31,600989.3128,6615944.9854,94.329254
32,600990.443,6615952.545,94.34416
33,600991.423875,6615954.61525,94.35578
34,600992.40475,6615956.6855,94.38842
35,600993.385625,6615958.75575,94.40345
36,600994.3665,6615960.825999999,94.39701
37,600995.347375,6615962.89625,94.41692
38,600996.32825,6615964.9665,94.37873
39,600997.309125,6615967.03675,94.42592
40,600998.29,6615969.107,94.43574
41,600998.8626250001,6615973.5397499995,94.42949
42,600999.4352500001,6615977.9725,94.40294
43,601000.007875,6615982.40525,94.368126
44,601000.5805,6615986.8379999995,94.372246
45,601001.1531250001,6615991.27075,94.36604
46,601001.72575,6615995.7035,94.622826
47,601002.298375,6616000.13625,94.81367
48,601002.871,6616004.569,94.76345
49,601003.646,6616009.5370000005,94.86334
50,601004.421,6616014.505,94.303246
51,601005.0102,6616019.1976,94.30861
52,601005.5994,6616023.8902,94.369835
53,601006.1886,6616028.5828,94.40421
54,601006.7777999999,6616033.275400001,94.2403
55,601007.367,6616037.968,94.29802
56,601006.604,6616044.184,94.78359
57,601006.73025,6616048.945,94.98386
58,601006.8565,6616053.706,95.09948
59,601006.9827500001,6616058.467,95.18887
60,601007.109,6616063.228,95.30552
61,601007.7355000001,6616068.176,95.3338
62,601008.362,6616073.124,95.50886
63,601008.9885,6616078.072,95.38175
64,601009.615,6616083.02,95.18114
65,601010.6678333334,6616087.053333333,95.27998
66,601011.7206666666,6616091.086666666,95.2859
67,601012.7735,6616095.119999999,95.262886
68,601013.8263333334,6616099.153333333,95.26444
69,601014.8791666667,6616103.1866666665,95.36317
70,601015.932,6616107.22,95.29906
71,601015.9592500001,6616111.47825,95.261856
72,601015.9865,6616115.7365,95.291565
73,601016.0137499999,6616119.99475,95.12946
74,601016.041,6616124.253,94.9577
75,601016.5164,6616131.0888,95.18951
76,601016.9918,6616137.9246,95.114365
77,601017.4672,6616144.7604,95.02802
78,601017.9426,6616151.5962,95.169304
79,601018.418,6616158.432,95.34786
80,601017.4913333333,6616163.246166667,95.40795
81,601016.5646666667,6616168.060333333,95.47509
82,601015.638,6616172.8745,95.51065
83,601014.7113333333,6616177.688666667,95.53955
84,601013.7846666666,6616182.502833333,95.60109
85,601012.858,6616187.317,95.6249
86,601012.406,6616190.279999999,95.66107
87,601011.954,6616193.243,95.72677
88,601011.7925555556,6616198.552888889,95.75635
89,601011.6311111111,6616203.862777778,95.83492
90,601011.4696666667,6616209.172666666,96.05802
91,601011.3082222223,6616214.482555555,96.02895
92,601011.1467777778,6616219.792444444,96.27535
93,601010.9853333334,6616225.102333333,96.15879
94,601010.8238888889,6616230.4122222215,96.34287
95,601010.6624444445,6616235.722111111,96.54336
96,601010.501,6616241.032,96.692604
