label,X,Z
1,0.0,95.16609
2,4.936324047036365,95.03228
3,9.872648093743628,95.162094
4,14.808972140779993,95.00059
5,19.74529618770311,94.90562
6,24.68162023452362,94.90779
7,29.61794428144674,94.93684
8,34.554268328483104,94.94275
9,39.49059237519037,95.00838
10,44.42691642222673,94.60254
11,49.36324046914985,94.44006
12,54.29956451597036,94.38311
13,59.23588856289348,94.178734
14,64.17221260971398,94.01279
15,69.1085366566371,94.42086
16,74.04486070367346,96.39336
17,78.98118475038072,96.99742
18,83.91750879741709,96.89914
19,88.8538328443402,96.9917
20,93.7901568911607,97.05531
21,98.72648093808382,97.31415
22,103.66280498512019,99.278885
23,108.59912903182746,101.30093
24,113.53545307886382,103.76662
25,118.47177712578694,106.56132
26,123.40810117260745,108.1444
27,128.34442521953056,107.85761
28,133.28074926656694,107.23568
29,138.2170733132742,106.519295
30,143.15339736031058,105.75795
31,148.0897214072337,104.95051
32,153.0260454540542,103.885956
33,157.96236950097733,102.59509
34,162.89869354801368,101.9414
35,167.83501759472094,101.38099
36,172.77134164175732,100.77173
37,177.70766568846457,100.43723
38,182.64398973550095,99.9073
39,187.58031378242407,99.464325
40,192.5166378292446,98.94574
41,197.4529618761677,98.38122
42,202.38928592320406,97.81834
43,207.3256099699113,97.20256
44,212.2619340169477,96.7603
45,217.1982580638708,96.24761
46,222.13458211069133,95.86463
47,227.07090615761444,95.45325
48,232.0072302046508,94.94099
49,236.94355425135805,94.60191
50,241.87987829839443,94.34017
51,246.81620234531755,94.14497
52,251.75252639213807,94.09897
53,256.6888504390612,93.94279
54,261.62517448609754,93.874596
55,266.5614985328048,93.66656
56,271.49782257984117,93.50517
57,276.4341466267643,93.34906
58,281.3704706735848,93.3399
59,286.3067947205079,93.32423
60,291.2431187675443,93.223465
61,296.17944281425156,93.145035
62,301.1157668612879,93.070724
63,306.0520909079952,93.13105
64,310.98841495503154,93.08163
65,315.92473900195466,92.95506
66,320.8610630487752,92.871506
67,325.7973870956983,92.83323
68,330.73371114273465,92.89004
69,335.67003518944193,93.01465
70,340.6063592364783,93.11306
71,345.5426832834014,93.25233
72,350.4790073302219,93.38968
73,355.41533137714504,93.53028
74,360.3516554241814,93.516945
75,365.2879794708887,93.44364
76,370.224303517925,93.43689
77,375.16062756484814,93.44578
78,380.09695161166866,93.43424
79,385.0332756585918,93.39461
80,389.9695997056281,93.48645
81,394.9059237523354,93.4984
82,399.84224779937176,93.55345
83,404.7785718462949,93.65353
84,409.7148958931154,93.70318
85,414.6512199400385,93.80128
86,419.58754398685903,93.95318
87,424.52386803378215,94.0506
88,429.4601920808185,94.07367
89,434.3965161275258,94.1125
90,439.33284017456214,94.04397
91,444.26916422148525,94.02678
92,449.20548826830577,93.96017
93,454.1418123152289,93.91746
94,459.07813636226524,93.90518
95,464.0144604089725,94.025116
96,468.9507844560089,94.12181
