label,X,Z
1,0.0,94.046715
2,3.8065461790260002,94.037994
3,7.6130923580520005,94.07401
4,11.419638537085447,94.06547
5,15.226184716111447,94.26953
6,20.398782334016367,94.08281
7,25.571379952838782,94.17939
8,30.743977570743702,94.10291
9,35.91657518956612,94.1244
10,41.08917280747104,94.12163
11,45.8808871988191,94.12787
12,50.67260158922883,94.212715
13,55.4643159805769,94.19409
14,60.256030371924965,94.194664
15,65.04774476233469,94.151924
16,69.83945915368275,94.15002
17,76.23792779878528,94.06289
18,80.86116573318816,94.126724
19,85.48440366759104,94.30233
20,90.10764160199392,94.06253
21,95.54889212434544,94.21064
22,100.99014264756218,94.195496
23,108.63376117572734,94.22686
24,116.27737970297143,94.328545
25,123.9209982311366,94.23094
26,131.56461675930177,94.31565
27,139.20823528652863,94.34918
28,146.8518538146938,94.31693
29,154.495472342859,94.342186
30,162.13909087102417,94.33172
31,169.78270939826825,94.329254
32,177.42632792643343,94.34416
33,179.7171903901394,94.35578
34,182.00805285384536,94.38842
35,184.29891531755132,94.40345
36,186.58977778125728,94.39701
37,188.8806402458049,94.41692
38,191.17150270951086,94.37873
39,193.46236517321682,94.42592
40,195.7532276369228,94.43574
41,200.22281060968265,94.42949
42,204.69239358336617,94.40294
43,209.1619765561111,94.368126
44,213.63155952887098,94.372246
45,218.1011425025545,94.36604
46,222.57072547529944,94.622826
47,227.04030844898296,94.81367
48,231.50989142174282,94.76345
