label,X,Z
1,0.0,94.046715
2,4.858762834934776,94.058105
3,9.717525668955663,94.122894
4,14.576288503868017,94.30471
5,19.435051338802793,94.131615
6,24.29381417373757,94.12296
7,29.152577007758456,94.11454
8,34.011339842670814,94.09721
9,38.87010267760559,94.24563
10,43.72886551162647,94.174805
11,48.587628346561246,94.114845
12,53.4463911814736,94.10849
13,58.30515401549449,94.195206
14,63.16391685042926,94.1007
15,68.02267968536404,94.119736
16,72.8814425202764,94.054436
17,77.74020535429729,94.07388
18,82.59896818923207,94.12935
19,87.45773102416685,94.059425
20,92.31649385818774,94.118126
21,97.1752566931001,94.33117
22,102.03401952803488,94.294235
23,106.89278236205577,94.25009
24,111.75154519699055,94.28801
25,116.6103080319029,94.32675
26,121.46907086683768,94.23094
27,126.32783370085858,94.25988
28,131.18659653579334,94.381004
29,136.0453593707057,94.32682
30,140.9041222047266,94.350006
31,145.76288503966137,94.31123
32,150.62164787459614,94.35212
33,155.48041070861703,94.36932
34,160.3391735435294,94.37886
35,165.19793637846416,94.31868
36,170.05669921339893,94.3302
37,174.91546204741982,94.37335
38,179.7742248823322,94.372795
39,184.63298771726696,94.40005
40,189.49175055128785,94.49602
41,194.35051338622262,94.485596
42,199.20927622113499,94.37497
43,204.06803905515588,94.39951
44,208.92680189009064,94.37642
45,213.7855647250254,94.35494
46,218.64432755993778,94.50639
47,223.50309039395867,94.71652
48,228.36185322889344,94.76345
